Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,1.364148,1.401700,1.334259,1.362615,-0.010447,1080397
2002-07-02,1.386372,1.390971,1.356484,1.373344,-0.010529,1016147
2002-07-03,1.371811,1.387139,1.364914,1.373344,-0.010529,980394
2002-07-04,1.379475,1.401700,1.379475,1.381008,-0.010588,972747
2002-07-05,1.388672,1.388672,1.372578,1.377942,-0.010565,974496
2002-07-08,1.394803,1.454580,1.364914,1.438486,-0.011029,1061686
2002-07-09,1.433121,1.440785,1.391737,1.400934,-0.010741,1024719
2002-07-10,1.410130,1.410130,1.387139,1.399401,-0.010729,946638
2002-07-11,1.449215,1.449215,1.372578,1.376410,-0.010553,968220
2002-07-12,1.391737,1.403233,1.379475,1.387139,-0.010635,967763
2002-07-15,1.371811,1.378709,1.353418,1.358783,-0.010418,974157
2002-07-16,1.364148,1.381008,1.364148,1.371045,-0.010512,959138
2002-07-17,1.371811,1.371811,1.356484,1.360316,-0.010429,955902
2002-07-18,1.397102,1.397102,1.364914,1.376410,-0.010553,958081
2002-07-19,1.387139,1.387139,1.357250,1.371045,-0.010512,1022018
2002-07-22,1.348820,1.377176,1.329661,1.338857,-0.010265,959229
2002-07-23,1.302837,1.363381,1.302837,1.338857,-0.010265,950108
2002-07-24,1.325829,1.343455,1.303604,1.303604,-0.009995,1004507
2002-07-25,1.341156,1.361848,1.295174,1.315866,-0.010089,929688
2002-07-26,1.283678,1.283678,1.266051,1.275248,-0.009777,934529
2002-07-29,1.295174,1.295174,1.228499,1.243827,-0.009536,955236
2002-07-30,1.295174,1.295174,1.226200,1.230032,-0.009431,972108
2002-07-31,1.249191,1.249191,1.195545,1.218536,-0.009342,961513
2002-08-01,1.226200,1.260687,1.226200,1.233097,-0.009454,953331
2002-08-02,1.226200,1.226200,1.200910,1.220835,-0.009360,939461
2002-08-05,1.287510,1.287510,1.197078,1.218536,-0.009342,982116
2002-08-06,1.226200,1.226200,1.196311,1.201676,-0.009213,971195
2002-08-07,1.241527,1.241527,1.214704,1.223901,-0.009384,966576
2002-08-08,1.249191,1.249191,1.199377,1.205508,-0.009243,971443
2002-08-09,1.210872,1.222368,1.203209,1.214704,-0.009313,918884
2002-08-12,1.219303,1.225434,1.210872,1.220069,-0.009354,489590
2002-08-13,1.221602,1.225434,1.210872,1.215471,-0.009319,384772
2002-08-14,1.223134,1.223134,1.190180,1.203209,-0.009225,482452
2002-08-15,1.203209,1.203209,1.203209,1.203209,-0.009225,0
2002-08-16,1.200143,1.210872,1.177152,1.184049,-0.009078,520671
2002-08-19,1.210872,1.210872,1.173320,1.183283,-0.009072,501059
